i/p button  $ pos $  im a more happier person after discovering the i/p button !  but  i 've had the player for about 2 years now and it still performs nicely with the exception of an occasional wwhhhrrr sound from the motor . 
player  $ neg $  im a more happier person after discovering the i/p button !  but  i 've had the player for about 2 years now and it still performs nicely with the exception of an occasional wwhhhrrr sound from the motor . 
dvd player  $ pos $  but , if you 're looking for my opinion of the apex dvd player , i love it !  but  weaknesses are minor : the feel and layout of the remote control are only so-so ; it does n't show the complete filenames of mp3s with really long names ; you must cycle through every zoom setting ( 2x , 3x , 4x , 1/2x , etc. ) before getting back to normal size [ sorry if i 'm just ignorant of a way to get back to 1x quickly ] . 
remote control  $ neg $  but , if you 're looking for my opinion of the apex dvd player , i love it !  but  weaknesses are minor : the feel and layout of the remote control are only so-so ; it does n't show the complete filenames of mp3s with really long names ; you must cycle through every zoom setting ( 2x , 3x , 4x , 1/2x , etc. ) before getting back to normal size [ sorry if i 'm just ignorant of a way to get back to 1x quickly ] . 
price  $ pos $  for the price it is a well spent investment !  but  player has a problem with dual-layer dvd 's such as alias season 1 and season 2 . 
dual-layer dvd  $ neg $  for the price it is a well spent investment !  but  player has a problem with dual-layer dvd 's such as alias season 1 and season 2 . 
forward  $ pos $  its fast-forward and rewind work much more smoothly and consistently than those of other models i 've had .  but  customer service and technical support are overloaded and nonresponsive - tells you about the quality of their products and their willingness to stand behind them . 
customer service  $ neg $  its fast-forward and rewind work much more smoothly and consistently than those of other models i 've had .  but  customer service and technical support are overloaded and nonresponsive - tells you about the quality of their products and their willingness to stand behind them . 
price  $ pos $  and amazon.com has it for such a great price -- how can you go wrong ?  but  i thought it was just the player , but then i started checking the discs to find that the apex 2600 is actually ruining my media . 
player  $ neg $  and amazon.com has it for such a great price -- how can you go wrong ?  but  i thought it was just the player , but then i started checking the discs to find that the apex 2600 is actually ruining my media . 
forward  $ pos $  at double-speed ( 2x forward speed ) , it still plays mp3s with sound -- they are pitch-corrected and smooth , but twice as fast !  but  this player is not worth any price and i recommend that you do n't purchase it . 
player  $ neg $  at double-speed ( 2x forward speed ) , it still plays mp3s with sound -- they are pitch-corrected and smooth , but twice as fast !  but  this player is not worth any price and i recommend that you do n't purchase it . 
finish  $ pos $  update : the finish is more " mirror " than silver -- and i like it !  but  very bad quality . 
quality  $ neg $  update : the finish is more " mirror " than silver -- and i like it !  but  very bad quality . 
player  $ pos $  player works and looks great - if you can get the dvd 's to play .  but  i tried to contact apex to return it ( i missed the amazon return period ) and it took 3 months to get through to their customer service dept . 
customer service  $ neg $  player works and looks great - if you can get the dvd 's to play .  but  i tried to contact apex to return it ( i missed the amazon return period ) and it took 3 months to get through to their customer service dept . 
case  $ pos $  for the first few weeks , this player was everything i expected it to be , an affordable multi-format dvd player with a stylish slim case as advertised .  but  it did also seem to have a strong " new electronics " smell for some time . 
smell  $ neg $  for the first few weeks , this player was everything i expected it to be , an affordable multi-format dvd player with a stylish slim case as advertised .  but  it did also seem to have a strong " new electronics " smell for some time . 
