affordability  $ pos $  while , there are flaws with the machine , the xtra gets five stars because of its affordability .  but  i hope it 's because it 's new and they are not out yet , but being without a remote is hard . 
remote  $ neg $  while , there are flaws with the machine , the xtra gets five stars because of its affordability .  but  i hope it 's because it 's new and they are not out yet , but being without a remote is hard . 
size  $ pos $  like it 's predecessor , the quickly revised nx , this player boasts a decent size and weight , a relatively-intuitive navigational system that categorizes based on id3 tags , and excellent sound ( widely known to be better than ipod - not surprising considering the number of years creative has been in the audio peripheral business ) .  but  navigation is a bit tricky and takes getting used to but the included pdf instructions cover the operation pretty well . 
navigation  $ neg $  like it 's predecessor , the quickly revised nx , this player boasts a decent size and weight , a relatively-intuitive navigational system that categorizes based on id3 tags , and excellent sound ( widely known to be better than ipod - not surprising considering the number of years creative has been in the audio peripheral business ) .  but  navigation is a bit tricky and takes getting used to but the included pdf instructions cover the operation pretty well . 
screen  $ pos $  the xtra improves upon the zen nx with a larger , now-blue backlit screen , which is infinitely better .  but  the sound is excellent , but a tip : get a real pair of headphones . 
sound  $ neg $  the xtra improves upon the zen nx with a larger , now-blue backlit screen , which is infinitely better .  but  the sound is excellent , but a tip : get a real pair of headphones . 
deal  $ pos $  i chose this one because from what i read , it was the best deal for the money .  but  the screen may be a little smaller , but it is very readable and does n't come in the overused blue . 
screen  $ neg $  i chose this one because from what i read , it was the best deal for the money .  but  the screen may be a little smaller , but it is very readable and does n't come in the overused blue . 
software  $ pos $  the software is great .  but  it does n't have firewire , not a real complaint since most windows users do n't generally have firewire cards themselves . 
firewire  $ neg $  the software is great .  but  it does n't have firewire , not a real complaint since most windows users do n't generally have firewire cards themselves . 
software  $ pos $  transfering is easy , the software makes everythig pretty easy .  but  the only complaint i have is that when you push in the scroll wheel to select , you have to push straight in or it sticks . 
scroll wheel  $ neg $  transfering is easy , the software makes everythig pretty easy .  but  the only complaint i have is that when you push in the scroll wheel to select , you have to push straight in or it sticks . 
battery life  $ pos $  even the battery life is great - it advertises 14 hours , it 's actually a little less but still good .  but  the main problem with the nomad jukebox zen xtra 30 gb is the software . 
software  $ neg $  even the battery life is great - it advertises 14 hours , it 's actually a little less but still good .  but  the main problem with the nomad jukebox zen xtra 30 gb is the software . 
interface  $ pos $  they player 's interface itself is also very easy to use .  but  the player itself has all sorts of problems . 
player  $ neg $  they player 's interface itself is also very easy to use .  but  the player itself has all sorts of problems . 
software  $ pos $  software is easy to use ( although redhat software is better , but costs money )  but  the player hangs up on file transfer every once-in-a-while , prompting a reset . 
file transfer  $ neg $  software is easy to use ( although redhat software is better , but costs money )  but  the player hangs up on file transfer every once-in-a-while , prompting a reset . 
battery  $ pos $  the battery is replaceable ( a real plus ) and there is a leather case ( another real plus ) .  but  the scroll button is overly sensitive at times ; not sensitive enough at others . 
scroll  $ neg $  the battery is replaceable ( a real plus ) and there is a leather case ( another real plus ) .  but  the scroll button is overly sensitive at times ; not sensitive enough at others . 
software  $ pos $  so far the software for the pc works easily .  but  depressing the scroll button ( for selecting ) is not always responsive . 
scroll  $ neg $  so far the software for the pc works easily .  but  depressing the scroll button ( for selecting ) is not always responsive . 
scroll wheel  $ pos $  the scroll wheel is a big improvement over the ipod touchpad .  but  the scroll bar problems make the task of creating playlists more frustrating . 
